Unique_ID,Body_Text
AZS-192,DRIVELING GALOOTS - This character can't be challenged by Pirate characters.
AZS-193,"YOU'LL GET WHAT'S COMING TO YOU - During your turn, whenever a card is put into your inkwell, deal 1 damage to chosen character."
AZS-194,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named John Silver.)
Resist +2 (Damage dealt to this character is reduced by 2.)
Don't Just Sit There!: At the start of your turn, deal 1 damage to each opposing ready character."
INK-001,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Let's Make Like A Tree - When this character is banished, gain 2 lore."
INK-002,"I'll Check It Out - At the end of your turn, if this character is exerted, you may ready another chosen character of yours."
INK-003,"The Power Of Evil - For each character card in your discard, you pay 1{i} less to play this character.

Summon The Spirits - When you play this character, shuffle all character cards from your discard into your deck."
INK-004,Where Did They All Come From? - You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.
INK-005,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
INK-006,NA
INK-007,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Kida.)

Perhaps We Can Save Our Future - When you play this character, all characters get -3{s} until the start of your next turn."
INK-008,"Good As New - {e}: Reveal the top 3 cards of your deck. You may put each character card with cost 2 or less into your hand. Put the rest on the bottom of your deck in any order.

Puppy Love - Whenever this character quests, if you have 4 or more other characters in play, your other characters get +1{l} this turn."
INK-009,"Singer 3 (This character counts as cost 3 to sing songs.)

Entourage - Whenever you play a character with Bodyguard, you may remove up to 2 damage from chosen character."
INK-010,Singer 4 (This character counts as cost 4 to sing songs.)
INK-011,NA
INK-012,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
INK-013,NA
INK-014,Bark - {e}: Chosen character gets -2{s} until the start of your next turn.
INK-015,"Come Along, Children - When you play this character and whenever she quests, you may play a character with cost 2 or less from your discard for free."
INK-016,"And I'm The Captain! - While you have 2 or more other characters in play, this character gets +2{l}."
INK-017,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Pluto.)

Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Guard Dog - At the start of your turn, remove up to 3 damage from this character."
INK-018,Good Dog - {e}: You pay 1{i} less for the next character you play this turn.
INK-019,"Twilight Bark - Once per turn, you may pay 2{i} to reveal the top card of your deck. If it's a character card, put it into your hand. Otherwise, Put it on the bottom of your deck."
INK-020,"All Ways Here Are My Ways - Whenever this character quests, your other Villain characters get +1{l} this turn."
INK-021,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)"
INK-022,"Make A New Friend - When you play this character, look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of our deck in any order."
INK-023,NA
INK-035,Curiouser And Curiouser - {e}: Exert chosen opposing character and all other opposing characters with the same name.
INK-036,"Restless Souls - Whenever this character quests, you may banish them to draw a card."
INK-037,"Looking For Aurora - Whenever you play a character named Maleficent, you may look at the top card of your deck. Put it on the top or the bottom of your deck."
INK-038,"Three Wishes - Whenever this character quests, you may shuffle this card into your deck to draw 3 cards."
INK-039,Blizzard - {e}: Exert chosen character.
INK-040,Evasive (Only characters with Evasive can challenge this character.)
INK-041,"I Am Your Master Now - When you play this character, look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom."
INK-042,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Jafar.)

Evasive (Only characters with Evasive can challenge this character.)

Power Beyond Measure - During your turn, while this character is exerted, whenever you draw a card, gain 1 lore."
INK-043,Rush (This character can challenge the turn they're played.)
INK-044,"Power Clean - When you play this character, if you have a Sorcerer character in play, you may exert chosen opposing character. They can't ready at the start of their next turn."
INK-045,"Rush (This character can challenge the turn they're played.)

Clean This, Clean That - When you play this character, you may shuffle all Broom cards from your discard into your deck."
INK-046,"Clean Sweep - While this character is at a location, it gets +2{s}."
INK-047,"Evasive (Only characters with Evasive can challenge this character.)

Find The Way - {e}: Move a character of yours to a location for free."
INK-048,NA
INK-049,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Magica De Spell.)

All Mine - Whenever this character quests, gain lore equal to the cost of one of your items in play."
INK-050,Telekinesis - {e}: Return chosen item with cost equal to or less than this character's {s} to its player's hand.
INK-051,"Dark Knowledge - Whenever this character quests, you may draw a card.

Divination - During your turn, whenever you draw a card, you may move 1 damage counter from chosen character to chosen opposing character."
INK-052,"Listen To Your Mama Now - Whenever this character quests, you may move up to 2 damage counters from chosen character to chosen opposing character."
INK-053,"Always There - When this character is banished, you may shuffle this card into your deck."
INK-054,"Challenger +3 (While challenging, this character gets +3{s}.)  Ancient Skills - Whenever he challenges a Hyena character, this character takes no damage from the challenge."
INK-055,"Evasive (Only characters with Evasive can challenge this character.)

Cyclone - {e}: Gain lore equal to the number of Titan characters you have in play."
INK-056,NA
INK-057,NA
INK-058,Who Disturbs MY Slumber? - This character can't challenge or quest unless it is at a location.
INK-059,"You're Too Late - Whenever this character quests, chosen opposing character can't ready at the start of their next turn."
INK-069,"The Bear - Whenever this character moves to a location, he gets +3{s} this turn."
INK-070,"Poor Souls - Whenever this character is challenged, each opponent chooses and discards a card."
INK-071,Evasive (Only characters with Evasive can challenge this character.)
INK-072,Eerie Pair - Your characters named Jetsam get +3{s}.
INK-073,"You Thieving Scoundrel - When you play this character, the player or players with the most cards in their hand chooses and discards a card."
INK-074,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Helga Sinclair.)

This Changes Everything - Whenever this character quests, you may deal 3 damage to chosen damaged character."
INK-075,"Nothing Personal - When this character is challenged and banished, banish the challenging character."
INK-076,"Ward (Opponents can't choose this character except to challenge.)

Eerie Pair - Your characters named Flotsam gain Ward."
INK-077,"Skysurfing - When you play this character, you may return chosen opposing character with 2{s} or less to their player's hand."
INK-078,"Well, Now You Know - When you play this character, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)

Thanks For Volunteering - Whenever one of your other characters is banished, each opponent loses 1 lore."
INK-079,NA
INK-080,"Shift 4 (You may pay 4{i} to play this on top of one of your characters named Milo Thatch.)

Take Them By Surprise - When this character is banished, return all opposing characters to their player's hands."
INK-081,Mimicry - You may play any character with Shift on this character as if this character had any name.
INK-082,"I Came To Listen To The Stories - Once per turn, when this character moves to a location, gain lore equal to that location's {l}."
INK-083,"Collect Taxes - Whenever this character quests, each opponent with more lore than you loses 2 lore."
INK-084,NA
INK-085,"I'll Handle This - While this character is at a location, she gets +3{s}. What's The Hurry? - While this character is at a location, whenever she challenges another character, you may draw a card."
INK-086,Evasive (Only characters with Evasive can challenge this character.)
INK-087,Ward (Opponents can't choose this character except to challenge.)
INK-088,NA
INK-089,"Evasive (Only characters with Evasive can challenge this character.)

Hide - While this character is at a location, he gains Ward. (Opponents can't choose them except to challenge.)"
INK-090,"You'll Never Even Miss It - When you play this character, chosen opponent reveals their hand and discards a song card of your choice."
INK-091,"What A Deal - Whenever this character sings a song, you may play that song again from your discard for free, then put it on the bottom of your deck."
INK-092,"Evasive (Only characters with Evasive can challenge this character.)

Disassemble - {e}: Banish chosen item."
INK-093,"It's Time To Go! - While this character is at a location, he gets +1{l}."
INK-103,"Evasive (Only characters with Evasive can challenge this character.)

Inspiring Voice - Whenever you play a song, chosen character of yours gains Evasive until the start of your next turn."
INK-104,NA
INK-105,"Nemesis - During your turn, whenever this character banishes another character in a challenge, ready this character. He can't quest for the rest of this turn.

Man-To-Man - Characters named Peter Pan lose Evasive and can't gain Evasive."
INK-106,Reckless (This character can't quest and must challenge each turn if able.)
INK-107,"Mindless Wandering - Once per turn, when this character moves to a location, each opponent loses 1 lore."
INK-108,"Watch The Teeth - Whenever this character is dealt damage, deal that much damage to chosen opposing character."
INK-109,"This Is It! - When you play this character, you may play a location with cost 4 or less for free.

Take The Helm - Whenever you play a location, this character may move there for free."
INK-110,NA
INK-111,"Plunder - When you play this character, each opponent loses 1 lore."
INK-112,"That Terrible Woman - When you play this character, banish chosen opposing character with 3{s} or less."
INK-113,"Reckless (This character can't quest and must challenge each turn if able.)

In Ma Belly - Whenever a character of yours named HeiHei quests, this character gets +1{l} and loses Reckless this turn."
INK-114,"This Mission Is Cursed - This character can't ready at the start of your turn.

I Got Your Back - 2{i}: Ready this character. He can't quest for the rest of the turn."
INK-115,"I'm Your Man! - While this character is at a location, he gets +2{s}."
INK-116,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Moana.)

Welcome To My Boat - Whenever this character quests while at a location, ready all other characters here, they can't quest for the rest of this turn."
INK-117,Evasive (Only characters with Evasive can challenge this character.)
INK-118,NA
INK-119,"Rush (This character can challenge the turn they're played.)  Over Here, Tink - While you have a character named Tinker Bell in play, this character gets +2{s}."
INK-120,"Shift 4 (You may pay 4{i} to play this on top of one of your characters named Peter Pan.)

Evasive (Only characters with Evasive can challenge this character.)

You're Next! - Whenever he challenges a Pirate character, this character takes no damage from the challenge."
INK-121,"Surprise Maneuver - When this character is banished, you may banish chosen character."
INK-122,"Brute - While this character has damage, he gets +3{s}."
INK-123,NA
INK-124,"The Fox - If you have a character named Peter Pan in play, you pay 1{i} less to play this character.

Evasive (Only characters with Evasive can challenge this character.)"
INK-125,Rush (This character can challenge the turn they're played.)
INK-126,Old Betsy - Your characters named Nutsy get +1{l}.
INK-127,NA
INK-137,"Ward (Opponents can't choose this character except to challenge.)

Spare Parts - Whenever this character quests, ready one of your items."
INK-138,"Discipline - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)"
INK-139,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)"
INK-140,"They'll Never See It Coming! - During your turn, this character gains Evasive. (They can challenge characters with Evasive."
INK-141,NA
INK-142,"There Was Only Ocean - When you play this character, look at the top 2 cards of your deck. You may put one into your hand. Put the rest on the bottom of your deck in any order."
INK-143,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Gramma Tala.)

Do You Know Who You Are? - Whenever a card is put into your inkwell, gain 1 lore."
INK-144,Now Try To Keep Up - {e}: Put an item card from your discard on the top of your deck.
INK-145,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)

Three Nephews - Whenever this character quests, if you have characters named Dewey and Louie in play, you may draw 3 cards."
INK-146,NA
INK-147,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Kit Cloudkicker.)

Ward (Opponents can't choose this character except to challenge.)"
INK-148,Ward (Opponents can't choose this character except to challenge.)
INK-149,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)"
INK-150,"Highborn Lady - When you play this character, chosen character gets -2{s} this turn."
INK-151,"This Going To Be Good - Whenever you play a song, you may put the top card of your deck into your inkwell facedown and exerted."
INK-152,NA
INK-153,"Too Old To Be Chasing Mice - When this character is banished, you may put this card into your inkwell facedown and exerted."
INK-154,"I'm Going Home! - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)

I Didn't Get Rich By Being Stupid - During your turn, whenever this character banishes another character in a challenge, you may play an item for free."
INK-155,"Treasure Rigger - Whenever this character quests, you pay 1{i} less for the next item you play this turn."
INK-156,"Calculating And Vain - Whenever this character quests, you may look at the top 3 cards of your deck and put them back in any order."
INK-157,"I Can Use That - Whenever one of your items is banished, you may put that card into your inkwell facedown and exerted."
INK-158,"Ward (Opponents can't choose this character except to challenge.)

Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)"
INK-171,NA
INK-172,Resist +1 (Damage dealt to this character is reduced by 1.)
INK-173,"All Tied Up - This character enters play exerted and can't ready at the start of your turn.

Break Free - During your turn, whenever one of your other characters banished another character in a challenge, you may ready this character."
INK-174,Call The Titans - {e}: Ready your Titan characters.
INK-175,"Challenger +2 (While challenging, this character gets +2{s}.)"
INK-176,"Chart Your Own Course - For each location you have in play, this character gains Resist +1 and gets +1{l}. (Damage dealt to them is reduced by 1.)"
INK-177,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
INK-178,"Shift 4 (You may pay 4{i} to play this on top of one of your characters named Little John.)

Okay, Big Shot - While this character is exerted, your characters with Bodyguard gain Resist +1 and get +1{l}."
INK-179,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Disguised - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)"
INK-180,"Resist +2 (Damage dealt to this character is reduced by 2.)

Stone Skin - {e}: Chosen character gains Resist +2 this turn."
INK-181,Let's Take A Look - This character gets +1{s} for each location you have in play.
INK-182,"Sound The Call - {e}, 2{i}: Play a character for free."
INK-183,"Journey - While this character is at a location, she gets +2{s}."
INK-184,"Oh Dear, Dear, Dear - At the end of your turn, if this character is exerted and you don't have a Captain character in play, deal 1 damage to this character."
INK-185,NA
INK-186,NA
INK-187,"Eruption - During your turn, whenever this character banishes another character in a challenge, you may ready chosen character."
INK-188,"Looky Here - While this character has no damage, he gets +2{s}."
INK-189,NA
