Unique_ID,Body_Text,Has_Bespoke
AZS-090,"FEAR ALWAYS WORKS - During your turn, whenever a card is put into your inkwell, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)",1
AZS-091,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Basil.)
Twists and Turns: During your turn, whenever a card is put into your inkwell, you may pay 1 {i} to have chosen opponent choose and discard a card.",1
AZS-092,NA,0
AZS-103,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Mickey Mouse.)
Mariner's Might: Whenever this character quests, chosen Pirate character gets +2 {s} and gains “This character takes no damage from challenges” this turn.",1
AZS-104,Rush (This character can challenge the turn they’re played.),0
AZS-105,"DIZZYING SPEED - When you play this character, chosen Pirate character gains Evasive until the start of your next turn. (Only characters with Evasive can challenge them.)",1
AZS-106,"YOU'LL NEVER MISS IT - Whenever this character quests, each opponent loses 1 lore.",1
AZS-107,"COME ON, LET'S DO THIS - Once during your turn, whenever a card is put into your inkwell, you may ready another chosen character of yours. They can't quest for the rest of this turn.",1
AZS-108,"Evasive (Only characters with Evasive can challenge this character.)
Look Lively, Crew!: While you have another Pirate character in play, this character gets +1 {s} and +1 {l}.",1
AZS-109,"CHART YOUR OWN COURSE - Whenever this character quests, you may deal 1 damage to another chosen character of yours. If you do, ready that character. They can't quest for the rest of this turn.",1
AZS-110,"AS READY AS I'LL EVER BE - At the start of your turn, if this character is at a location, draw a card and gain 1 lore.",1
AZS-111,NA,0
AZS-112,NA,0
AZS-113,Evasive (Only characters with Evasive can challenge this character.),0
AZS-114,Rush (This character can challenge the turn they're played.),0
AZS-115,"SOLID GROUND - While this character is at a location, he gets +2 {s}.",1
AZS-116,"KEEP DRIVING - While this character has damage, she gets +1 {l}.",1
AZS-117,LEARNING THE ROPES - This character can't challenge unless you have a Captain character in play.,1
AZS-118,NA,0
AZS-119,"Shift 2 (You may pay 2 {i} to play this on top of one of your characters named Aladdin.)
Remember Your Training: When you play this character, your characters get +2 {s} this turn.",1
AZS-120,"LAND, HO! - Once during your turn, whenever a card is put into your inkwell, you may return a location card from your discard to your hand.",1
AZS-121,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Moana.)
Gathering Forces: When you play this character, you may move any number of your characters to the same location for free. Gain 1 lore for each character you moved.",1
AZS-122,NA,0
AZS-123,"Rush (This character can challenge the turn they're played.)
Evasive (Only characters with Evasive can challenge this character.)",0
AZS-124,"Evasive (Only characters with Evasive can challenge this character.)
CHEEEEHOOOO!: Whenever this character challenges another character, you may return an action card from your discard to your hand.
Wayfinding: Whenever you play an action, gain 1 lore.",1
AZS-125,WHAT ARE YOU GONNA DO? - Banish chosen character.,1
AZS-126,"Evasive (Only characters with Evasive can challenge this character.)
Swash Your Buckles: Whenever you play an action, this character gets +1 {s} and +1 {l} this turn.",1
AZS-127,"TEETH AND AMBITIONS - When you play this character, deal 2 damage to chosen character of yours to deal 2 damage to another chosen character.",1
AZS-137,"Support (Whenever this character quests, you may add their ※ to another chosen character’s ※ this turn.)",1
AZS-138,"HAPPY TO HELP - Whenever this character quests, chosen Inventor character gets +1 {l} this turn.",1
AZS-139,"BRAINSTORM - Whenever you play an item, this character gets +1 {l} this turn.",1
AZS-140,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Gadget Hackwrench.)
Mechanically Savvy: While you have 3 or more items in play, you pay 1 {i} less to play Inventor characters.",1
AZS-141,"Ward (Opponents can’t choose this character except to challenge.)
Run Interference: During your turn, whenever a card is put into your inkwell, another chosen character gains Resist +1 until the start of your next turn. (Damage dealt to them is reduced by 1.)",1
AZS-142,"FAVORABLE CHANCE - During your turn, whenever a card is put into your inkwell, you may reveal the top card of your deck. If it's an item card, you may play that item for free and it enters play exerted. Otherwise, put it on the bottom of your deck.",1
AZS-143,"TIME TO UPGRADE - Whenever this character quests, you may return one of your items to your hand to pay 2 {i} less for the next item you play this turn.",1
AZS-144,"REPORTING FOR DUTY - When you play this character, put chosen character of yours into your inkwell facedown and exerted.",1
AZS-145,SWEET TECH - Search your deck for an item card or a Robot character card and reveal it to all players. Shuffle your deck and put that card on top of it.,1
AZS-146,"EAT ANYTHING - When you play this character, exert chosen opposing item. It can't ready at the start of its next turn.",1
AZS-147,"UNPALATABLE - When you play this character, chosen opposing character gets -2 {s} this turn.",1
AZS-148,"NICE TO HAVE A PARTNER - While you have another character with Support in play, this character gets +2 {s}.",1
AZS-149,"BLADES OF FURY - When you play this character, you may banish chosen item. Its player gains 1 lore.",1
AZS-150,"Shift 1 (You may pay 1 {i} to play this on top of one of your characters named Nick Wilde.)
You Can't Touch Me: While you have an item in play, this character can't be challenged.",1
AZS-151,NA,0
AZS-152,NA,0
AZS-153,LET'S GET BACK TO WORK - This character gets +1 {s} and +1 ? for each item you have in play.,1
AZS-154,I NEED TO UPGRADE ALL OF YOU - Your other Inventor characters gain Resist +1. (Damage dealt to them is reduced by 1.),1
AZS-155,"SOMEONE HAS TO HELP - During an opponent's turn, when this character is banished, you may put the top card of your deck into your inkwell facedown. Then, put this card into your inkwell facedown.",1
AZS-156,"Fully Charged - If you have an Inventor character in play, you may pay 1 {i} less to play this character
You Said 'Ow' - 2 {i}: Remove up to 1 damage from another chosen character.",1
AZS-157,"THE TREATMENT IS WORKING - When you play this character and whenever he quests, you may remove up to 2 damage from another chosen character of yours. Gain 1 lore for each 1 damage removed this way.",1
AZS-158,NA,0
AZS-159,NA,0
AZS-160,"Shift 6 (You may pay 6 {i} to play this on top of one of your characters named Yokai.)
NeuroTransmitter: You may play items named Microbots for free.
Technical Gain: Whenever this character quests, draw a card for each opposing character with 0 {s}.",1
AZS-161,"Ward (Opponents can’t choose this character except to challenge.) 
Ahoy!: Whenever this character quests, another chosen character of yours gets +1 {l} and gains Ward until the start of your next turn.",1
AZS-171,"A LITTLE HELP - When you play this character, if you have another Pirate character in play, you may deal 1 damage to chosen character or location.",1
AZS-172,"HEAD COCONUT - Whenever this character quests, you may draw a card, then choose and discard a card to deal 1 damage to chosen character or location. If you discarded a Pirate character card, deal 3 damage instead.",1
AZS-173,"COME ON, COME ON, COME ON! - During your turn, whenever a card is put into your inkwell, this character gains Challenger +2 this turn. (They get +2 {s} while challenging.)",1
AZS-174,REPUTATION - This character can't be challenged by characters with 2 {s} or greater.,1
AZS-175,"GOOD CATCH - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)",1
AZS-176,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Mr. Smee)
Raise the Colors: When you play this character, you may deal damage to chosen character equal to the number of your other Pirate characters in play.",1
AZS-177,"FALL IN LINE - While you have a character named Mr. Smee in play, this character gains Resist +1. (Damage dealt to them is reduced by 1.)",1
AZS-178,NA,0
AZS-179,NA,0
AZS-180,"Challenger+2 (While challenging, this character gets +2 {s}.)",0
AZS-181,"HUNK OF HARDWARE - When you play this character, chosen character can't challenge during their next turn.",1
AZS-182,Resist +1 (Damage dealt to this character is reduced by 1.),0
AZS-183,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Jim Hawkins.)
Battle Stations: When you play this character, you may deal 1 damage to chosen character or location.",1
AZS-184,NA,0
AZS-185,"KEEP IT HIDDEN - When this character is banished, you may banish chosen item or location.",1
AZS-186,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Good Boy: While this character has no damage, he gets +4 {s}.",1
AZS-187,BACKUP - Your characters named Pluto gain Resist +1. (Damage dealt to them is reduced by 1.),1
AZS-188,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Think About What's Best: 2 {i} - Draw a card, then choose and discard a card.",1
AZS-189,NA,0
AZS-190,"I WRECK THINGS - Whenever this character quests, you may banish chosen item or location to gain 2 lore.",1
AZS-191,"Resist +1 (Damage dealt to this character is reduced by 1.)
Level Up: During your turn, whenever this character banishes another character in a challenge, gain 2 lore.",1
AZS-192,DRIVELING GALOOTS - This character can't be challenged by Pirate characters.,1
AZS-193,"YOU'LL GET WHAT'S COMING TO YOU - During your turn, whenever a card is put into your inkwell, deal 1 damage to chosen character.",1
AZS-194,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named John Silver.)
Resist +2 (Damage dealt to this character is reduced by 2.)
Don't Just Sit There!: At the start of your turn, deal 1 damage to each opposing ready character.",1
INK-001,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Let's Make Like A Tree - When this character is banished, gain 2 lore.",1
INK-002,"I'll Check It Out - At the end of your turn, if this character is exerted, you may ready another chosen character of yours.",1
INK-003,"The Power Of Evil - For each character card in your discard, you pay 1{i} less to play this character.

Summon The Spirits - When you play this character, shuffle all character cards from your discard into your deck.",1
INK-004,Where Did They All Come From? - You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,1
INK-005,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),0
INK-006,NA,0
INK-007,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Kida.)

Perhaps We Can Save Our Future - When you play this character, all characters get -3{s} until the start of your next turn.",1
INK-008,"Good As New - {e}: Reveal the top 3 cards of your deck. You may put each character card with cost 2 or less into your hand. Put the rest on the bottom of your deck in any order.

Puppy Love - Whenever this character quests, if you have 4 or more other characters in play, your other characters get +1{l} this turn.",1
INK-009,"Singer 3 (This character counts as cost 3 to sing songs.)

Entourage - Whenever you play a character with Bodyguard, you may remove up to 2 damage from chosen character.",1
INK-010,Singer 4 (This character counts as cost 4 to sing songs.),0
INK-011,NA,0
INK-012,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),0
INK-013,NA,0
INK-014,Bark - {e}: Chosen character gets -2{s} until the start of your next turn.,1
INK-015,"Come Along, Children - When you play this character and whenever she quests, you may play a character with cost 2 or less from your discard for free.",1
INK-016,"And I'm The Captain! - While you have 2 or more other characters in play, this character gets +2{l}.",1
INK-017,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Pluto.)

Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Guard Dog - At the start of your turn, remove up to 3 damage from this character.",1
INK-018,Good Dog - {e}: You pay 1{i} less for the next character you play this turn.,1
INK-019,"Twilight Bark - Once per turn, you may pay 2{i} to reveal the top card of your deck. If it's a character card, put it into your hand. Otherwise, Put it on the bottom of your deck.",1
INK-020,"All Ways Here Are My Ways - Whenever this character quests, your other Villain characters get +1{l} this turn.",1
INK-021,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",0
INK-022,"Make A New Friend - When you play this character, look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of our deck in any order.",1
INK-023,NA,0
INK-035,Curiouser And Curiouser - {e}: Exert chosen opposing character and all other opposing characters with the same name.,1
INK-036,"Restless Souls - Whenever this character quests, you may banish them to draw a card.",1
INK-037,"Looking For Aurora - Whenever you play a character named Maleficent, you may look at the top card of your deck. Put it on the top or the bottom of your deck.",1
INK-038,"Three Wishes - Whenever this character quests, you may shuffle this card into your deck to draw 3 cards.",1
INK-039,Blizzard - {e}: Exert chosen character.,1
INK-040,Evasive (Only characters with Evasive can challenge this character.),0
INK-041,"I Am Your Master Now - When you play this character, look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.",1
INK-042,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Jafar.)

Evasive (Only characters with Evasive can challenge this character.)

Power Beyond Measure - During your turn, while this character is exerted, whenever you draw a card, gain 1 lore.",1
INK-043,Rush (This character can challenge the turn they're played.),0
INK-044,"Power Clean - When you play this character, if you have a Sorcerer character in play, you may exert chosen opposing character. They can't ready at the start of their next turn.",1
INK-045,"Rush (This character can challenge the turn they're played.)

Clean This, Clean That - When you play this character, you may shuffle all Broom cards from your discard into your deck.",1
INK-046,"Clean Sweep - While this character is at a location, it gets +2{s}.",1
INK-047,"Evasive (Only characters with Evasive can challenge this character.)

Find The Way - {e}: Move a character of yours to a location for free.",1
INK-048,NA,0
INK-049,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Magica De Spell.)

All Mine - Whenever this character quests, gain lore equal to the cost of one of your items in play.",1
INK-050,Telekinesis - {e}: Return chosen item with cost equal to or less than this character's {s} to its player's hand.,1
INK-051,"Dark Knowledge - Whenever this character quests, you may draw a card.

Divination - During your turn, whenever you draw a card, you may move 1 damage counter from chosen character to chosen opposing character.",1
INK-052,"Listen To Your Mama Now - Whenever this character quests, you may move up to 2 damage counters from chosen character to chosen opposing character.",1
INK-053,"Always There - When this character is banished, you may shuffle this card into your deck.",1
INK-054,"Challenger +3 (While challenging, this character gets +3{s}.)
 
 Ancient Skills - Whenever he challenges a Hyena character, this character takes no damage from the challenge.",1
INK-055,"Evasive (Only characters with Evasive can challenge this character.)

Cyclone - {e}: Gain lore equal to the number of Titan characters you have in play.",1
INK-056,NA,0
INK-057,NA,0
INK-058,Who Disturbs MY Slumber? - This character can't challenge or quest unless it is at a location.,1
INK-059,"You're Too Late - Whenever this character quests, chosen opposing character can't ready at the start of their next turn.",1
INK-069,"The Bear - Whenever this character moves to a location, he gets +3{s} this turn.",1
INK-070,"Poor Souls - Whenever this character is challenged, each opponent chooses and discards a card.",1
INK-071,Evasive (Only characters with Evasive can challenge this character.),0
INK-072,Eerie Pair - Your characters named Jetsam get +3{s}.,1
INK-073,"You Thieving Scoundrel - When you play this character, the player or players with the most cards in their hand chooses and discards a card.",1
INK-074,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Helga Sinclair.)

This Changes Everything - Whenever this character quests, you may deal 3 damage to chosen damaged character.",1
INK-075,"Nothing Personal - When this character is challenged and banished, banish the challenging character.",1
INK-076,"Ward (Opponents can't choose this character except to challenge.)

Eerie Pair - Your characters named Flotsam gain Ward.",1
INK-077,"Skysurfing - When you play this character, you may return chosen opposing character with 2{s} or less to their player's hand.",1
INK-078,"Well, Now You Know - When you play this character, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)

Thanks For Volunteering - Whenever one of your other characters is banished, each opponent loses 1 lore.",1
INK-079,NA,0
INK-080,"Shift 4 (You may pay 4{i} to play this on top of one of your characters named Milo Thatch.)

Take Them By Surprise - When this character is banished, return all opposing characters to their player's hands.",1
INK-081,Mimicry - You may play any character with Shift on this character as if this character had any name.,1
INK-082,"I Came To Listen To The Stories - Once per turn, when this character moves to a location, gain lore equal to that location's {l}.",1
INK-083,"Collect Taxes - Whenever this character quests, each opponent with more lore than you loses 2 lore.",1
INK-084,NA,0
INK-085,"I'll Handle This - While this character is at a location, she gets +3{s}.
 
What's The Hurry? - While this character is at a location, whenever she challenges another character, you may draw a card.",1
INK-086,Evasive (Only characters with Evasive can challenge this character.),0
INK-087,Ward (Opponents can't choose this character except to challenge.),0
INK-088,NA,0
INK-089,"Evasive (Only characters with Evasive can challenge this character.)

Hide - While this character is at a location, he gains Ward. (Opponents can't choose them except to challenge.)",1
INK-090,"You'll Never Even Miss It - When you play this character, chosen opponent reveals their hand and discards a song card of your choice.",1
INK-091,"What A Deal - Whenever this character sings a song, you may play that song again from your discard for free, then put it on the bottom of your deck.",1
INK-092,"Evasive (Only characters with Evasive can challenge this character.)

Disassemble - {e}: Banish chosen item.",1
INK-093,"It's Time To Go! - While this character is at a location, he gets +1{l}.",1
INK-103,"Evasive (Only characters with Evasive can challenge this character.)

Inspiring Voice - Whenever you play a song, chosen character of yours gains Evasive until the start of your next turn.",1
INK-104,NA,0
INK-105,"Nemesis - During your turn, whenever this character banishes another character in a challenge, ready this character. He can't quest for the rest of this turn.

Man-To-Man - Characters named Peter Pan lose Evasive and can't gain Evasive.",1
INK-106,Reckless (This character can't quest and must challenge each turn if able.),0
INK-107,"Mindless Wandering - Once per turn, when this character moves to a location, each opponent loses 1 lore.",1
INK-108,"Watch The Teeth - Whenever this character is dealt damage, deal that much damage to chosen opposing character.",1
INK-109,"This Is It! - When you play this character, you may play a location with cost 4 or less for free.

Take The Helm - Whenever you play a location, this character may move there for free.",1
INK-110,NA,0
INK-111,"Plunder - When you play this character, each opponent loses 1 lore.",1
INK-112,"That Terrible Woman - When you play this character, banish chosen opposing character with 3{s} or less.",1
INK-113,"Reckless (This character can't quest and must challenge each turn if able.)

In Ma Belly - Whenever a character of yours named HeiHei quests, this character gets +1{l} and loses Reckless this turn.",1
INK-114,"This Mission Is Cursed - This character can't ready at the start of your turn.

I Got Your Back - 2{i}: Ready this character. He can't quest for the rest of the turn.",1
INK-115,"I'm Your Man! - While this character is at a location, he gets +2{s}.",1
INK-116,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Moana.)

Welcome To My Boat - Whenever this character quests while at a location, ready all other characters here, they can't quest for the rest of this turn.",1
INK-117,Evasive (Only characters with Evasive can challenge this character.),0
INK-118,NA,0
INK-119,"Rush (This character can challenge the turn they're played.)
 
 Over Here, Tink - While you have a character named Tinker Bell in play, this character gets +2{s}.",1
INK-120,"Shift 4 (You may pay 4{i} to play this on top of one of your characters named Peter Pan.)

Evasive (Only characters with Evasive can challenge this character.)

You're Next! - Whenever he challenges a Pirate character, this character takes no damage from the challenge.",1
INK-121,"Surprise Maneuver - When this character is banished, you may banish chosen character.",1
INK-122,"Brute - While this character has damage, he gets +3{s}.",1
INK-123,NA,0
INK-124,"The Fox - If you have a character named Peter Pan in play, you pay 1{i} less to play this character.

Evasive (Only characters with Evasive can challenge this character.)",1
INK-125,Rush (This character can challenge the turn they're played.),0
INK-126,Old Betsy - Your characters named Nutsy get +1{l}.,1
INK-127,NA,0
INK-137,"Ward (Opponents can't choose this character except to challenge.)

Spare Parts - Whenever this character quests, ready one of your items.",1
INK-138,"Discipline - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)",1
INK-139,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",0
INK-140,"They'll Never See It Coming! - During your turn, this character gains Evasive. (They can challenge characters with Evasive.",1
INK-141,NA,0
INK-142,"There Was Only Ocean - When you play this character, look at the top 2 cards of your deck. You may put one into your hand. Put the rest on the bottom of your deck in any order.",1
INK-143,"Shift 5 (You may pay 5{i} to play this on top of one of your characters named Gramma Tala.)

Do You Know Who You Are? - Whenever a card is put into your inkwell, gain 1 lore.",1
INK-144,Now Try To Keep Up - {e}: Put an item card from your discard on the top of your deck.,1
INK-145,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)

Three Nephews - Whenever this character quests, if you have characters named Dewey and Louie in play, you may draw 3 cards.",1
INK-146,NA,0
INK-147,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Kit Cloudkicker.)

Ward (Opponents can't choose this character except to challenge.)",0
INK-148,Ward (Opponents can't choose this character except to challenge.),0
INK-149,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",0
INK-150,"Highborn Lady - When you play this character, chosen character gets -2{s} this turn.",1
INK-151,"This Going To Be Good - Whenever you play a song, you may put the top card of your deck into your inkwell facedown and exerted.",1
INK-152,NA,0
INK-153,"Too Old To Be Chasing Mice - When this character is banished, you may put this card into your inkwell facedown and exerted.",1
INK-154,"I'm Going Home! - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)

I Didn't Get Rich By Being Stupid - During your turn, whenever this character banishes another character in a challenge, you may play an item for free.",1
INK-155,"Treasure Rigger - Whenever this character quests, you pay 1{i} less for the next item you play this turn.",1
INK-156,"Calculating And Vain - Whenever this character quests, you may look at the top 3 cards of your deck and put them back in any order.",1
INK-157,"I Can Use That - Whenever one of your items is banished, you may put that card into your inkwell facedown and exerted.",1
INK-158,"Ward (Opponents can't choose this character except to challenge.)

Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",0
INK-171,NA,0
INK-172,Resist +1 (Damage dealt to this character is reduced by 1.),0
INK-173,"All Tied Up - This character enters play exerted and can't ready at the start of your turn.

Break Free - During your turn, whenever one of your other characters banished another character in a challenge, you may ready this character.",1
INK-174,Call The Titans - {e}: Ready your Titan characters.,1
INK-175,"Challenger +2 (While challenging, this character gets +2{s}.)",0
INK-176,"Chart Your Own Course - For each location you have in play, this character gains Resist +1 and gets +1{l}. (Damage dealt to them is reduced by 1.)",1
