Artist,Set_Name,Classifications,Date_Added,Keywords,Set_Num,Color,Franchise,Image,Cost,Inkable,Name,Type,Lore,Rarity,Flavor_Text,Unique_ID,Card_Num,Body_Text,Willpower,Date_Modified,Strength,Set_ID,Gamemode,Card_Variants,Move_Cost,StrengthPlusWillpower,keyword_NA,keyword_Support,keyword_Shift,keyword_Evasive,keyword_Challenger,keyword_Rush,keyword_Ward,keyword_Resist,keyword_Bodyguard,keyword_Singer,keyword_Reckless,Has_Keywords,Has_Bespoke,Basic_Cost,Keyword_Cost,Bespoke_Cost,is_meta,res
Brian Kesinger,Ursula's Return,"Storyborn, Hero",2024-05-17T12:00,,4,Ruby,Mulan,https://lorcana-api.com/images/li_shang/general's_son/li_shang-general's_son-large.png,1,TRUE,Li Shang - General's Son,Character,1,Common,"His training was unsurpassed, but it was his courage that would see him through this fight.",URS-111,111,NA,2,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Nicholas Kole,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,,4,Ruby,Mulan,https://lorcana-api.com/images/khan/beloved_steed/khan-beloved_steed-large.png,2,TRUE,Khan - Beloved Steed,Character,1,Uncommon,"As silent as a shadow and faster than the wind: brave Khan, the mightiest stallion.",URS-110,110,NA,2,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Eri Welli,Ursula's Return,"Storyborn, Mentor, King",2024-05-17T12:00,,4,Ruby,Raya and the Last Dragon,https://lorcana-api.com/images/benja/bold_united/benja-bold_united-large.png,4,TRUE,Benja - Bold United,Character,1,Common,"""We must work together to heal the entangled.""",URS-104,104,NA,3,2024-08-29 16:27:12.0,5,URS,Lorcana,,NA,8,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.3724567421099385,0,0,FALSE,0.6275432578900617
Anderson Mahanski,Ursula's Return,"Dreamborn, Ally",2024-05-17T12:00,,4,Emerald,Tangled,https://lorcana-api.com/images/tor/florist/tor-florist-large.png,5,TRUE,Tor - Florist,Character,1,Common,"They say that his arrangements are exquisite,
His composites and bouquets are so divine.
But when the crowds try to come and visit,
There's always quite a fight to form a line.",URS-091,91,NA,7,2024-08-29 16:27:12.0,4,URS,Lorcana,,NA,11,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,4.803993730745657,0,0,FALSE,0.1960062692543427
Stefano Zanchi,Ursula's Return,"Storyborn, Villain, Musketeer",2024-05-17T12:00,,4,Emerald,The Three Musketeers,https://lorcana-api.com/images/pete/rotten_guy/pete-rotten_guy-large.png,4,TRUE,Pete - Rotten Guy,Character,2,Uncommon,"Minnie: ""This is an outrage!""
Pete: ""No. It's my nefarious plan to steal the throne.""",URS-086,86,NA,5,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.040166763631789,0,0,FALSE,0.9598332363682109
Oggy Christiansson,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,,4,Emerald,Hercules,https://lorcana-api.com/images/pain/immortal_sidekick/pain-immortal_sidekick-large.png,3,TRUE,Pain - Immortal Sidekick,Character,2,Uncommon,"""We totally took care of that thing you told us to do and definitely did not spend the day in Thebes ticketing chariots and stealing people's laundry.""",URS-081,81,NA,4,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.040166763631789,0,0,FALSE,-0.040166763631788935
Maddie Shilt,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,,4,Emerald,Cinderella,https://lorcana-api.com/images/gus/champion_of_cheese/gus-champion_of_cheese-large.png,2,TRUE,Gus - Champion of Cheese,Character,1,Common,You can always rely on him when it comes to cheese.,URS-073,73,NA,3,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Hadjie Joos,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,,4,Amethyst,Encanto,https://lorcana-api.com/images/pico/helpful_toucan/pico-helpful_toucan-large.png,2,TRUE,Pico - Helpful Toucan,Character,1,Common,He spotted a mysterious glow in the mountains nearby. Could it be a missing piece of the prophecy?,URS-055,55,NA,2,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Natalia Trykowska,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,,4,Amethyst,The Beauty and the Beast,https://lorcana-api.com/images/magical_maid/feather_duster/magical_maid-feather_duster-large.png,2,TRUE,Magical Maid - Feather Duster,Character,2,Uncommon,"""Have you ever seen anything so beautiful?"" She asked, marveling at the Amethyst trees.
""No, cherie,"" Lumiere replied, never taking his eyes off her. ""I have not.""",URS-050,50,NA,2,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.0858087712079763,0,0,FALSE,-0.08580877120797645
Rudy Hill,Ursula's Return,"Dreamborn, Broom",2024-05-17T12:00,,4,Amethyst, Fantasia,https://lorcana-api.com/images/magic_broom/lively_sweeper/magic_broom-lively_sweeper-large.png,3,TRUE,Magic Broom - Lively Sweeper,Character,1,Common,Clean like no one's watching.,URS-049,49,NA,4,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.4180987496861257,0,0,FALSE,0.5819012503138742
Ellia Horie,Ursula's Return,"Storyborn, Ally, Madrigal",2024-05-17T12:00,,4,Amethyst,Encanto,https://lorcana-api.com/images/antonio_madrigal/animal_expert/antonio_madrigal-animal_expert-large.png,3,TRUE,Antonio Madrigal - Animal Expert,Character,1,Uncommon,"""Once upon a time, there was a casita in the mountains with a very special family. . . .""",URS-035,35,NA,4,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.8952777458980323,0,0,FALSE,0.10472225410196787
Aisha Durmagambetova,Ursula's Return,"Storyborn, Hero, Alien",2024-05-17T12:00,,4,Amber,Lilo and Stitch,https://lorcana-api.com/images/stitch/alien_dancer/stitch-alien_dancer-large.png,2,TRUE,Stitch - Alien Dancer,Character,1,Common,"Moving to the music, he begins to understand the true meaning of ohana and how he fits into the family he has found.",URS-023,23,NA,3,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Hedvig Haggman-Sund,Ursula's Return,"Storyborn, Ally, Madrigal",2024-05-17T12:00,,4,Amber,Encanto,https://lorcana-api.com/images/felix_madrigal/fun-loving_family_man/felix_madrigal-fun-loving_family_man-large.png,3,TRUE,Felix Madrigal - Fun-Loving Family Man,Character,2,Uncommon,Who needs a gift when you're having this much fun?,URS-009,9,NA,4,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.040166763631789,0,0,FALSE,-0.040166763631788935
Stefano Zanchi,Ursula's Return,"Dreamborn, Ally",2024-05-17T12:00,,4,Amber,Disney Classics,https://lorcana-api.com/images/daisy_duck/lovely_lady/daisy_duck-lovely_lady-large.png,1,TRUE,Daisy Duck - Lovely Lady,Character,1,Uncommon,"Sweet Daisy, the fairest duck I ever met
Each flaxen lock a rush of flowing gold
Her bill the color of summer sunset
Exquisite plumes, a wonder to behold",URS-006,6,NA,3,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Eri Welli,Ursula's Return,"Storyborn, Mentor, Madrigal",2024-05-17T12:00,,4,Amber,Encanto,https://lorcana-api.com/images/agustin_madrigal/clumsy_dad/agustin_madrigal-clumsy_dad-large.png,1,TRUE,Agustin Madrigal - Clumsy Dad,Character,1,Common,Falling for Julieta was the easiest thing he'd ever done.,URS-001,1,NA,2,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Isaiah Mesq,The First Chapter,"Storyborn, Hero, Deity",2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/maui/demigod/maui-demigod-large.png,8,TRUE,Maui - Demigod,Character,3,Rare,"When the gods gift you a boat, you take it. The boat's owner is optional.",TFC-185,185,NA,8,2024-08-29 16:27:12.0,8,TFC,Lorcana,,NA,16,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,8.434024739696515,0,0,FALSE,-0.43402473969651506
Jared Nickerl,The First Chapter,"Dreamborn, Hero",2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/lilo/galactic_hero/lilo-galactic_hero-large.png,3,TRUE,Lilo - Galactic Hero,Character,2,Uncommon,"""Space. That's where the aliens come from. And also tourists!""",TFC-184,184,NA,2,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.040166763631789,0,0,FALSE,-0.040166763631788935
Jake Parker,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/kronk/right-hand_man/kronk-right-hand_man-large.png,6,TRUE,Kronk - Right-Hand Man,Character,2,Uncommon,"""Oh yeah. It's all coming together!""",TFC-183,183,NA,6,2024-08-29 16:27:12.0,6,TFC,Lorcana,,NA,12,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,5.903240740903227,0,0,FALSE,0.09675925909677316
Ron Baird,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/kristoff/offical_ice_master/kristoff-offical_ice_master-large.png,3,TRUE,Kristoff - Offical Ice Master,Character,2,Common,"Kristoff: ""You want to talk about a supply and demand problem? I sell ice for a living"" 
Anna: ""Ooh, that's a rough business to be in right now. I mean, that is really-ah, mm. That's unfortunate.""",TFC-182,182,NA,3,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.040166763631789,0,0,FALSE,-0.040166763631788935
Cam Kendall,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/goons/maleficent's_underlings/goons-maleficent's_underlings-large.png,1,TRUE,Goons - Maleficent's Underlings,Character,1,Common,"They may be useless, but they came with the castle.",TFC-179,179,NA,2,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Oleg Yurkov,The First Chapter,Storyborn,2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/cerberus/three-headed_dog/cerberus-three-headed_dog-large.png,5,TRUE,Cerberus - Three-Headed Dog,Character,1,Common,Always vigilant. Always fierce. Always fighting for the ball.,TFC-176,176,NA,6,2024-08-29 16:27:12.0,5,TFC,Lorcana,,NA,11,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,4.803993730745657,0,0,FALSE,0.1960062692543427
Randy Bishop,The First Chapter,"Storyborn, Hero",2023-08-18T12:00,,1,Steel,,https://lorcana-api.com/images/aladdin/cornered_swordsman/aladdin-cornered_swordsman-large.png,2,TRUE,Aladdin - Cornered Swordsman,Character,2,Common,"""Oh ho! So the street rat found a sword and a backbone!"" 
-Razoul",TFC-171,171,NA,1,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,3,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.60862977499607,0,0,FALSE,0.3913702250039298
Cristian Romero,The First Chapter,"Storyborn, King",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/triton/the_sea_king/triton-the_sea_king-large.png,7,TRUE,Triton - The Sea King,Character,2,Uncommon,"""Isn't 'Because I said so' enough of a reason?""",TFC-160,160,NA,9,2024-08-29 16:27:12.0,5,TFC,Lorcana,,NA,14,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,6.857598733327039,0,0,FALSE,0.1424012666729605
Luis Huerta,The First Chapter,"Storyborn, Mentor, King",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/mufasa/king_of_the_pride_lands/mufasa-king_of_the_pride_lands-large.png,6,TRUE,Mufasa - King of the Pride Lands,Character,3,Common,"""A king must care for all of the creatures in his kingdom, no matter their size.""",TFC-155,155,NA,6,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,10,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,5.570950762425078,0,0,FALSE,0.42904923757492286
Gaku Kumatori,The First Chapter,"Dreamborn, Villain, Sorcerer",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/maleficent/uninvited/maleficent-uninvited-large.png,5,TRUE,Maleficent - Uninvited,Character,3,Rare,She had no invitation-and needed no introduction.,TFC-151,151,NA,6,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,9,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,5.0937717662131705,0,0,FALSE,-0.09377176621317079
Nicholas Kole,The First Chapter,"Storyborn, Villain, Sorcerer",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/maleficent/sinister_visitor/maleficent-sinister_visitor-large.png,4,TRUE,Maleficent - Sinister Visitor,Character,2,Common,"""The princess shall indeed grow in grace and beauty, beloved by all who know her. But before the sun sets on her sixteenth birthday, she shall prick her finger on the spindle of a spinning wheel. . . .""",TFC-150,150,NA,4,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.5173457598436952,0,0,FALSE,0.48265424015630476
R. La Barbera/L. Giammichele,The First Chapter,"Storyborn, Princess",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/jasmine/disguised/jasmine-disguised-large.png,3,TRUE,Jasmine - Disguised,Character,2,Common,"""Try to understand. I've never done a thing on my own. I've never had any real friends. . . . I've never even been outside the palace walls.""",TFC-148,148,NA,3,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.040166763631789,0,0,FALSE,-0.040166763631788935
Brian Weiyz,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/flounder/voice_of_reason/flounder-voice_of_reason-large.png,1,TRUE,Flounder - Voice Of Reason,Character,1,Common,"""Excitement . . . adventure . . . danger lurking around every cor- AAAAAGGH!""",TFC-145,145,NA,2,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Samanta Erdini,The First Chapter,"Storyborn, Hero, Princess",2023-08-18T12:00,,1,Sapphire,,https://lorcana-api.com/images/aurora/regal_princess/aurora-regal_princess-large.png,2,TRUE,Aurora - Regal Princess,Character,2,Uncommon,"""They say if you dream a thing more than once, it's sure to come true!""",TFC-140,140,NA,2,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.0858087712079763,0,0,FALSE,-0.08580877120797645
Bill Robinson,The First Chapter,"Storyborn, Hero, Alien",2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/stitch/abomination/stitch-abomination-large.png,6,TRUE,Stitch - Abomination,Character,3,Rare,"""His destructive programming is taking effect. He will be irresistibly drawn to large cities, where he will back up sewers, reverse street signs, and steal everyone's left shoe."" 
-Jumba Jookiba",TFC-125,125,NA,6,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,10,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,5.570950762425078,0,0,FALSE,0.42904923757492286
Cary Godhey,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/sergeant_tibbs/courageous_cat/sergeant_tibbs-courageous_cat-large.png,1,TRUE,Sergeant Tibbs - Courageous Cat,Character,1,Common,"""Yes, sir. Righto, sir. Right away, sir!""",TFC-124,124,NA,2,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Amber Kommavongsa,The First Chapter,"Dreamborn, Villain",2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/scar/fiery_usurper/scar-fiery_usurper-large.png,4,TRUE,Scar - Fiery Usurper,Character,1,Common,Consumed by the flames of ambition.,TFC-122,122,NA,3,2024-08-29 16:27:12.0,5,TFC,Lorcana,,NA,8,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.3724567421099385,0,0,FALSE,0.6275432578900617
Kenneth Anderson,The First Chapter,"Storyborn, Hero",2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/minnie_mouse/always_classy/minnie_mouse-always_classy-large.png,1,TRUE,Minnie Mouse - Always Classy,Character,1,Common,Her fashion sense is always spot on.,TFC-116,116,NA,3,2024-08-29 16:27:12.0,1,TFC,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,TRUE,-0.46374075726231345
Kenneth Anderson,The First Chapter,Storyborn,2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/donald_duck/boisterous_fowl/donald_duck-boisterous_fowl-large.png,2,TRUE,Donald Duck - Boisterous Fowl,Character,1,Uncommon,"""Who you callin' boisterous, buster?""",TFC-108,108,NA,3,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Brian Weisz,The First Chapter,"Storyborn, Ally, Captain",2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/captain/colonel's_lieutenant/captain-colonel's_lieutenant-large.png,5,TRUE,Captain - Colonel's Lieutenant,Character,1,Uncommon,"""Barking signal. It's an alert. Report to the Colonel at once!""",TFC-106,106,NA,5,2024-08-29 16:27:12.0,6,TFC,Lorcana,,NA,11,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,4.803993730745657,0,0,FALSE,0.1960062692543427
Oleg Yurkov,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Ruby,,https://lorcana-api.com/images/abu/mischievous_monkey/abu-mischievous_monkey-large.png,3,TRUE,Abu - Mischievous Monkey,Character,2,Common,"""Someday, Abu, things are gonna change. We'll be rich, live in a palace, and never have any problems at all.""
-Aladdin",TFC-103,103,NA,2,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.562987767419883,0,0,FALSE,0.43701223258011734
Jeff Murchie,The First Chapter,Dreamborn,2023-08-18T12:00,,1,Emerald,,https://lorcana-api.com/images/tamatoa/drab_little_crab/tamatoa-drab_little_crab-large.png,2,TRUE,Tamatoa - Drab Little Crab,Character,1,Uncommon,"""Someday, I'll grow up to be the most crabulous crustacean the world has ever seen!""",TFC-092,92,NA,4,2024-08-29 16:27:12.0,1,TFC,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Juan Diego Leon,The First Chapter,"Storyborn, Hero, Captain",2023-08-18T12:00,,1,Emerald,,https://lorcana-api.com/images/mickey_mouse/steamboat_pilot/mickey_mouse-steamboat_pilot-large.png,3,TRUE,Mickey Mouse - Steamboat Pilot,Character,1,Common,"On rivers throughout the Inklands, the little steamboat's whistle answers the cheery tunes of its pilot.",TFC-089,89,NA,4,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.8952777458980323,0,0,FALSE,0.10472225410196787
Milica Celikovic,The First Chapter,"Dreamborn, Alien, Inventor",2023-08-18T12:00,,1,Emerald,,https://lorcana-api.com/images/jumba_jookiba/renegade_scientist/jumba_jookiba-renegade_scientist-large.png,5,TRUE,Jumba Jookiba - Renegade Scientist,Character,2,Uncommon,"""Created something? Ha! But that would be irresponsible and unethical. I would never, ever . . . make more than one.""",TFC-083,83,NA,5,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,9,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,4.471703752267508,0,0,FALSE,0.5282962477324922
Isaiah Mesq,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,,1,Emerald,,https://lorcana-api.com/images/horace/no-good_scoundrel/horace-no-good_scoundrel-large.png,3,TRUE,Horace - No-Good Scoundrel,Character,1,Common,"""Well, they ain't in here, Jasper.""",TFC-079,79,NA,3,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.8952777458980323,0,0,FALSE,0.10472225410196787
Massimiliano Narciso,The First Chapter,"Storyborn, Villain, Prince",2023-08-18T12:00,,1,Emerald,,https://lorcana-api.com/images/hans/scheming_prince/hans-scheming_prince-large.png,4,TRUE,Hans - Scheming Prince,Character,3,Rare,"""Rules are like older siblings. All they do is get in the way.""",TFC-078,78,NA,3,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.662234777577452,0,0,FALSE,0.337765222422548
